,PLAYER,DIST_MI_DEF,AVG_SPEED_DEF
406,Otto Porter Jr.,1.09,4.18
407,PJ Dozier,0.05,3.66
408,PJ Tucker,0.91,3.94
409,Pascal Siakam,0.73,4.18
410,Pat Connaughton,0.59,4.12
411,Patrick Beverley,1.07,4.21
412,Patrick McCaw,0.59,4.15
413,Patrick Patterson,0.50,3.81
414,Patty Mills,0.85,4.10
415,Pau Gasol,0.72,3.83
416,Paul George,1.21,3.83
417,Paul Millsap,0.93,3.82
418,Paul Zipser,0.53,4.04
419,Quincy Acy,0.60,3.79
420,Quincy Pondexter,0.30,4.07
421,Quinn Cook,0.78,4.22
422,RJ Hunter,0.30,3.95
423,Rajon Rondo,0.89,3.95
424,Ramon Sessions,0.42,3.77
425,Rashad Vaughn,0.27,4.18
426,Raul Neto,0.41,4.23
427,Raymond Felton,0.54,3.86
428,Reggie Bullock,0.96,4.16
429,Reggie Hearn,0.05,5.06
430,Reggie Jackson,0.86,3.95
431,Richard Jefferson,0.26,4.06
432,Richaun Holmes,0.52,3.98
433,Ricky Rubio,0.94,3.99
434,Robert Covington,1.07,3.92
435,Robin Lopez,0.86,3.92
436,Rodney Hood,0.89,4.01
437,Rodney McGruder,0.60,4.39
438,Rodney Purvis,0.60,4.11
439,Ron Baker,0.48,4.32
440,Rondae Hollis-Jefferson,0.96,4.19
441,Royce O'Neale,0.56,4.13
442,Rudy Gay,0.71,4.10
443,Rudy Gobert,1.04,3.97
444,Russell Westbrook,1.16,3.65
445,Ryan Anderson,0.84,3.89
446,Ryan Arcidiacono,0.47,4.23
447,Salah Mejri,0.41,4.23
448,Sam Dekker,0.45,4.27
449,Scotty Hopson,0.33,4.54
450,Sean Kilpatrick,0.41,3.97
451,Semi Ojeleye,0.55,4.15
452,Serge Ibaka,0.88,3.88
453,Shabazz Muhammad,0.36,4.50
454,Shabazz Napier,0.65,3.93
455,Shane Larkin,0.50,4.30
456,Shaquille Harrison,0.65,4.53
457,Shaun Livingston,0.55,3.98
458,Shelvin Mack,0.68,4.16
459,Sindarius Thornwell,0.60,4.37
460,Skal Labissiere,0.71,4.19
461,Solomon Hill,0.52,3.86
462,Spencer Dinwiddie,0.87,3.72
463,Stanley Johnson,0.94,4.15
464,Stephen Curry,1.13,3.95
465,Sterling Brown,0.53,4.38
466,Steven Adams,1.13,3.98
467,T.J. McConnell,0.82,4.32
468,TJ Leaf,0.29,4.19
469,TJ Warren,1.16,4.21
470,Taj Gibson,1.08,4.05
471,Tarik Black,0.35,4.09
472,Taurean Prince,0.97,3.95
473,Terrance Ferguson,0.47,4.35
474,Terrence Ross,0.92,4.25
475,Terry Rozier,0.88,4.18
476,Thabo Sefolosha,0.70,4.01
477,Thaddeus Young,1.13,4.16
478,Thomas Bryant,0.16,3.86
479,Thon Maker,0.65,4.49
480,Tim Frazier,0.49,4.17
481,Tim Hardaway Jr.,1.09,4.02
482,Tim Quarterman,0.13,4.70
483,Timofey Mozgov,0.40,4.13
484,Timothe Luwawu-Cabarrot,0.57,4.30
485,Tobias Harris,1.10,4.00
486,Tomas Satoransky,0.80,4.37
487,Tony Allen,0.43,4.05
488,Tony Bradley,0.11,4.35
489,Tony Parker,0.65,4.19
490,Tony Snell,0.94,3.94
491,Torrey Craig,0.60,4.48
492,Travis Wear,0.44,3.84
493,Treveon Graham,0.59,4.38
494,Trevor Ariza,1.10,3.94
495,Trevor Booker,0.58,4.14
496,Trey Burke,0.75,4.17
497,Trey Lyles,0.59,3.79
498,Trey McKinney-Jones,0.04,0.00
499,Tristan Thompson,0.71,4.21
500,Troy Daniels,0.70,4.10
501,Troy Williams,0.51,4.38
502,Tyler Cavanaugh,0.44,4.13
503,Tyler Dorsey,0.61,4.31
504,Tyler Ennis,0.44,4.14
505,Tyler Johnson,1.00,4.30
506,Tyler Lydon,0.06,7.80
507,Tyler Ulis,0.83,4.21
508,Tyler Zeller,0.56,4.12
509,Tyreke Evans,0.90,3.57
510,Tyrone Wallace,1.02,4.22
511,Tyson Chandler,0.77,3.72
512,Tyus Jones,0.62,4.27
513,Udonis Haslem,0.14,3.58
514,Vander Blue,0.30,3.61
515,Victor Oladipo,1.20,4.15
516,Vince Carter,0.53,3.72
517,Vincent Hunter,0.05,3.17
518,Wade Baldwin IV,0.43,4.53
519,Walter Lemon Jr.,0.18,4.68
520,Wayne Ellington,0.86,4.00
521,Wayne Selden,0.64,3.97
522,Wes Iwundu,0.57,4.38
523,Wesley Johnson,0.70,4.10
524,Wesley Matthews,1.05,3.91
525,Will Barton,1.04,3.85
526,Willie Cauley-Stein,0.94,4.04
527,Willie Reed,0.36,4.10
528,Willy Hernangomez,0.35,4.05
529,Wilson Chandler,1.01,3.89
530,Xavier Munford,0.10,3.99
531,Xavier Rathan-Mayes,0.72,4.16
532,Xavier Silas,0.14,4.26
533,Yogi Ferrell,0.93,4.10
534,Zach Collins,0.50,3.98
535,Zach LaVine,0.96,4.17
536,Zach Randolph,0.78,3.84
537,Zaza Pachulia,0.49,3.97
538,Zhou Qi,0.22,4.09
