,PLAYER,DREB%,%DREB,STL%,%BLK
336,Montrezl Harrell,14.6,22.5,17.5,38.2
337,Damyean Dotson,14.2,21.6,17.4,3.9
338,Josh Jackson,12.3,18.3,27.5,19.9
339,Derrick Jones Jr.,6.6,8.9,15.4,37.1
340,Nik Stauskas,10.7,15.9,12.7,9.1
341,Trey Lyles,21.5,30.7,14.4,22.2
342,Alex Abrines,7.9,12.2,19.0,6.7
343,Dennis Schroder,8.1,12.1,19.6,2.9
344,Bobby Portis,20.7,29.5,18.2,21.7
345,Lance Stephenson,20.3,29.5,16.0,11.4
346,Michael Carter-Williams,13.1,18.4,31.7,29.5
347,Josh Magette,7.9,10.8,28.6,11.1
348,Rodney Purvis,8.5,12.7,6.7,9.4
349,Dwayne Bacon,15.8,21.4,16.3,4.0
350,Frank Kaminsky,13.9,19.1,14.0,12.7
351,Andrew Bogut,22.3,31.3,10.8,54.2
352,Tony Allen,9.1,13.5,22.9,13.6
353,Mario Hezonja,14.4,21.9,30.7,19.4
354,Tyler Ulis,6.1,9.0,28.9,4.7
355,Corey Brewer,8.9,13.2,36.2,13.0
356,Mirza Teletovic,12.8,18.9,26.7,6.7
357,Bogdan Bogdanovic,9.4,13.8,21.0,9.0
358,Tyler Dorsey,11.2,15.5,14.7,7.1
359,Jonathon Simmons,8.7,13.0,19.3,7.6
360,Justin Anderson,12.0,18.0,19.2,14.3
361,Tyson Chandler,24.1,34.8,10.7,27.0
362,Norman Powell,10.0,15.0,19.5,13.8
363,Dragan Bender,14.9,21.7,8.0,29.1
364,Joel Bolomboy,12.1,15.4,22.2,0.0
365,Julyan Stone,15.3,20.1,16.7,20.0
366,Solomon Hill,12.4,17.4,20.0,5.0
367,Greg Monroe,24.4,36.5,27.0,32.4
368,Dakari Johnson,11.1,15.7,15.4,53.3
369,Cameron Payne,8.9,12.2,25.5,27.3
370,Jeff Withey,22.0,28.1,0.0,50.0
371,TJ Warren,9.3,13.9,22.8,17.9
372,Treveon Graham,7.9,10.7,20.8,2.6
373,Jared Dudley,12.6,19.4,22.4,21.2
