,PLAYER,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL
239,Jeremy Evans,ATL,30,1,5.0,2.0,0.0,0.0,0.00,0.0,2.0,2.0
240,Jeremy Lamb,CHA,26,80,25.0,0.1,1.6,0.9,0.01,2.4,3.0,5.5
241,Jeremy Lin,BKN,29,1,25.0,0.0,3.0,0.0,0.00,3.0,1.0,4.0
242,Jerian Grant,CHI,25,74,23.0,0.2,1.5,0.6,0.04,2.4,2.8,5.2
243,Jerryd Bayless,PHI,29,39,24.0,0.1,1.0,0.8,0.05,3.0,2.2,5.2
244,Jimmy Butler,MIN,28,59,37.0,0.4,3.5,1.9,0.12,3.1,3.1,6.3
245,Joakim Noah,NYK,33,7,6.0,0.6,0.6,0.1,0.00,2.1,0.4,2.6
246,Jodie Meeks,WAS,30,77,15.0,0.1,0.6,0.4,0.01,1.3,1.4,2.6
247,Joe Harris,BKN,26,78,25.0,0.2,0.8,0.8,0.03,4.2,2.3,6.5
248,Joe Ingles,UTA,30,82,31.0,0.4,2.3,1.1,0.00,2.7,2.9,5.7
249,Joe Johnson,HOU,37,55,22.0,0.4,0.7,0.7,0.00,2.4,2.8,5.2
250,Joe Young,IND,26,53,11.0,0.0,0.6,0.5,0.04,0.8,1.0,1.8
251,Joel Bolomboy,MIL,24,6,6.0,0.8,0.3,0.2,0.00,2.0,0.8,2.8
252,Joel Embiid,PHI,24,63,30.0,3.0,1.1,1.3,0.02,9.6,1.9,11.6
253,Joffrey Lauvergne,SAS,26,55,10.0,1.4,0.2,0.3,0.00,2.3,0.4,2.7
254,John Collins,ATL,20,74,24.0,3.1,1.0,0.9,0.00,7.7,2.2,10.0
255,John Henson,MIL,27,76,26.0,2.7,1.5,0.5,0.00,7.9,1.7,9.6
256,John Holland,CLE,29,24,7.0,0.1,0.4,0.4,0.08,1.0,0.7,1.6
257,John Wall,WAS,27,41,34.0,0.1,2.7,1.2,0.10,5.4,1.8,7.2
258,Johnathan Motley,DAL,23,11,16.0,1.4,0.5,0.4,0.00,3.3,1.0,4.3
259,Johnny O'Bryant III,CHA,25,36,11.0,1.1,0.4,0.4,0.14,2.4,0.5,2.9
260,Jon Leuer,DET,29,8,17.0,1.5,0.1,0.0,0.00,2.8,1.1,3.9
261,Jonas Jerebko,UTA,31,74,15.0,0.5,0.6,0.3,0.08,2.8,1.2,4.0
262,Jonas Valanciunas,TOR,26,77,22.0,2.2,0.8,0.7,0.04,9.9,1.1,11.0
263,Jonathan Gibson,BOS,30,4,10.0,0.0,0.3,0.3,0.00,0.3,0.8,1.0
264,Jonathan Isaac,ORL,20,27,20.0,0.5,2.2,0.7,0.15,5.6,1.7,7.3
265,Jonathon Simmons,ORL,28,69,29.0,0.1,1.7,0.9,0.07,2.6,2.4,5.0
266,Jordan Bell,GSW,23,57,14.0,1.5,1.2,0.5,0.00,4.6,2.2,6.8
267,Jordan Clarkson,CLE,26,81,23.0,0.2,1.1,0.8,0.00,3.2,2.3,5.5
268,Jordan Crawford,NOP,29,5,11.0,0.0,0.4,0.2,0.00,0.6,0.6,1.2
269,Jordan Mickey,MIA,23,23,12.0,1.3,0.7,0.5,0.00,3.4,0.9,4.2
