,PLAYER,TEAM,GP,W,L,MIN,DREB,CONTESTED_DREB,CONTEST_DREB%,DREB_CHANCES,DREB_CHANCE%,DEFER_DREB_CHANCE,ADJ_DREB_CHANCE%,AVG_DREB_DIST
213,Jameel Warney,DAL,3,1,2,9.0,1.7,0.3,20.0,2.0,83.3,0.0,83.3,5.1
214,Jameer Nelson,DET,49,24,25,20.3,1.8,0.2,12.2,3.1,60.0,0.3,67.7,8.2
215,Jamel Artis,ORL,15,4,11,18.6,2.3,0.6,26.5,3.9,58.6,0.3,64.2,6.9
216,James Ennis III,DET,71,24,47,22.1,2.0,0.5,25.4,3.7,53.4,0.2,57.0,5.6
217,James Harden,HOU,71,59,12,35.4,4.8,0.7,13.7,7.9,61.5,0.5,66.0,7.4
218,James Johnson,MIA,72,36,36,26.6,4.0,0.8,21.0,7.1,56.6,0.4,60.1,5.4
219,James Michael McAdoo,PHI,3,1,2,6.0,0.7,0.3,50.0,0.7,100,0.0,100,6.8
220,James Webb III,BKN,10,1,9,12.0,1.6,0.1,6.3,2.5,64.0,0.5,80.0,5.0
221,James Young,PHI,6,4,2,10.2,0.3,0.0,0.0,0.7,50.0,0.0,50.0,9.4
222,Jamil Wilson,LAC,15,6,9,18.3,1.9,0.5,24.1,4.5,42.6,0.3,46.0,6.4
223,Jared Dudley,PHX,48,7,41,14.3,1.8,0.3,18.6,3.8,47.5,0.3,51.5,7.1
224,Jarell Eddie,CHI,3,1,2,2.9,0.3,0.3,100,0.3,100,0.0,100,2.8
225,Jarell Martin,MEM,72,20,52,22.8,3.0,0.7,24.0,6.1,49.5,0.5,53.8,5.0
226,Jarrett Allen,BKN,70,24,46,20.0,3.4,0.9,26.7,6.6,51.4,0.5,55.8,4.9
227,Jarrett Jack,NYK,61,25,36,24.8,2.7,0.2,6.7,4.3,62.7,0.2,66.3,9.9
228,Jason Smith,WAS,33,15,18,8.6,1.1,0.4,40.0,2.0,53.8,0.2,58.3,4.9
229,Jason Terry,MIL,51,27,24,16.0,0.8,0.1,14.0,1.4,61.4,0.1,66.2,11.0
230,Jawun Evans,LAC,48,24,24,16.2,1.6,0.4,24.0,3.2,48.4,0.4,55.1,7.4
231,Jaylen Brown,BOS,67,44,23,30.6,4.0,0.9,22.3,6.5,62.0,0.4,65.9,6.2
232,Jaylen Morris,ATL,6,2,4,16.4,2.3,0.3,14.3,4.2,56.0,0.2,58.3,8.8
233,Jayson Tatum,BOS,77,50,27,30.7,4.4,0.8,18.5,7.1,62.3,0.4,65.8,6.5
234,Jeff Green,CLE,78,47,31,23.4,2.4,0.9,36.0,4.5,52.8,0.2,55.9,6.4
235,Jeff Teague,MIN,70,41,29,33.0,2.6,0.2,9.2,5.0,53.0,0.4,57.3,9.7
236,Jeff Withey,DAL,10,2,8,3.9,0.9,0.3,33.3,1.6,56.3,0.1,60.0,4.4
237,Jerami Grant,OKC,79,48,31,20.3,2.9,0.9,32.0,5.2,55.8,0.3,59.4,5.9
238,Jeremy Evans,ATL,1,0,1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Jeremy Lamb,CHA,80,36,44,24.6,3.4,0.6,16.7,5.6,61.4,0.5,66.7,5.8
240,Jeremy Lin,BKN,1,0,1,25.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
241,Jerian Grant,CHI,74,24,50,22.8,1.9,0.2,12.1,3.7,50.7,0.4,56.2,7.5
242,Jerryd Bayless,PHI,38,21,17,23.9,1.7,0.2,9.4,3.2,52.9,0.3,58.2,12.1
243,Jimmy Butler,MIN,59,37,22,36.7,4.0,1.0,25.1,6.8,58.6,0.6,64.7,7.7
244,Joakim Noah,NYK,7,1,6,5.7,1.1,0.4,37.5,2.1,53.3,0.3,61.5,2.8
245,Jodie Meeks,WAS,77,41,36,14.5,1.4,0.2,11.7,2.3,63.8,0.3,72.1,8.9
246,Joe Harris,BKN,77,26,51,25.3,2.7,0.6,21.5,5.1,52.6,0.4,57.1,7.4
247,Joe Ingles,UTA,82,48,34,31.4,3.9,0.5,12.8,6.0,65.4,0.3,69.3,8.2
248,Joe Johnson,HOU,55,35,20,21.9,2.9,0.5,16.5,4.9,58.3,0.3,62.2,6.4
249,Joe Young,IND,53,28,25,10.5,1.0,0.1,7.8,1.5,65.4,0.1,70.8,11.0
250,Joel Bolomboy,MIL,6,3,3,6.3,0.7,0.0,0.0,1.0,66.7,0.2,80.0,4.5
251,Joel Embiid,PHI,62,41,21,30.3,8.7,3.2,36.9,14.1,61.4,0.9,65.7,3.7
252,Joffrey Lauvergne,SAS,55,30,25,9.7,2.0,0.5,25.9,3.0,64.7,0.2,69.2,4.1
253,John Collins,ATL,73,21,52,24.1,4.9,1.7,34.3,9.5,51.8,0.9,56.9,4.0
254,John Henson,MIL,75,39,36,26.0,4.8,1.8,38.1,8.4,56.9,0.4,59.9,4.3
255,John Holland,CLE,24,17,7,7.3,0.8,0.2,22.2,1.5,50.0,0.1,52.9,8.2
256,John Wall,WAS,41,23,18,34.4,3.1,0.2,7.0,5.9,52.7,0.5,57.4,9.3
257,Johnathan Motley,DAL,11,1,10,16.0,3.2,0.6,20.0,5.4,59.3,0.3,62.5,5.0
258,Johnny O'Bryant III,CHA,36,15,21,10.5,1.8,0.4,23.4,3.5,50.8,0.3,56.1,5.1
259,Jon Leuer,DET,8,5,3,17.1,3.1,1.0,32.0,7.4,42.4,0.6,46.3,4.3
260,Jonas Jerebko,UTA,74,45,29,15.3,2.6,0.5,18.7,4.8,54.4,0.3,58.3,4.9
261,Jonas Valanciunas,TOR,77,56,21,22.4,6.2,2.1,33.8,10.3,59.9,0.7,64.2,3.5
262,Jonathan Gibson,BOS,4,2,2,10.0,0.8,0.3,33.3,1.8,42.9,0.0,42.9,8.8
263,Jonathan Isaac,ORL,27,11,16,19.8,3.1,1.1,36.1,6.1,50.6,0.4,54.6,4.3
264,Jonathon Simmons,ORL,69,21,48,29.4,2.6,0.4,16.3,4.6,56.2,0.3,59.5,8.2
265,Jordan Bell,GSW,56,42,14,14.4,2.6,0.8,30.1,4.6,56.4,0.4,61.3,5.2
266,Jordan Clarkson,CLE,81,40,41,23.3,2.0,0.3,15.0,3.8,51.6,0.3,55.7,8.3
267,Jordan Crawford,NOP,4,3,1,7.2,0.3,0.3,100,0.8,33.3,0.0,33.3,8.0
268,Jordan Mickey,MIA,23,15,8,12.3,2.7,1.0,34.9,5.3,51.6,0.7,58.9,3.8
269,Jose Calderon,CLE,57,33,24,16.0,1.2,0.1,8.6,2.3,53.8,0.3,61.9,8.8
270,Josh Gray,PHX,5,0,5,17.3,1.6,0.4,25.0,2.8,57.1,0.0,57.1,6.4
271,Josh Hart,LAL,63,27,36,23.2,3.5,0.9,24.4,6.0,58.5,0.5,63.9,6.7
272,Josh Huestis,OKC,67,43,24,14.4,1.8,0.4,24.6,3.5,50.2,0.3,54.6,6.2
273,Josh Jackson,PHX,77,19,58,25.4,3.3,0.6,18.8,5.6,58.9,0.4,63.7,6.9
274,Josh Magette,ATL,18,3,15,12.0,0.9,0.2,17.6,1.9,50.0,0.1,53.1,10.2
275,Josh McRoberts,DAL,2,2,0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Josh Richardson,MIA,80,43,37,33.2,2.6,0.4,13.3,5.3,50.0,0.4,54.0,9.0
277,Josh Smith,NOP,3,2,1,3.9,0.3,0.3,100,0.7,50.0,0.0,50.0,2.0
278,Jrue Holiday,NOP,79,46,33,36.2,3.7,0.7,19.7,6.9,53.9,0.5,58.1,8.6
279,Juancho Hernangomez,DEN,25,15,10,11.1,1.4,0.5,33.3,2.6,55.4,0.3,62.1,4.5
280,Julius Randle,LAL,82,35,47,26.7,5.8,1.6,27.5,9.4,61.7,0.6,65.7,5.2
