,PLAYER,DREB,CONTEST_DREB%,DEFER_DREB_CHANCE,AVG_DREB_DIST
453,Shabazz Muhammad,1.2,28.3,0.1,4.4
454,Shabazz Napier,1.9,8.3,0.5,8.5
455,Shane Larkin,1.5,14.7,0.2,8.4
456,Shaquille Harrison,2.3,19.2,0.2,8.9
457,Shaun Livingston,1.4,22.9,0.2,8.5
458,Shelvin Mack,2.1,10.5,0.3,9.4
459,Sindarius Thornwell,1.5,30.8,0.3,7.4
460,Skal Labissiere,3.2,30.7,0.6,5.4
461,Solomon Hill,2.3,18.5,0.3,8.4
462,Spencer Dinwiddie,2.7,13.1,0.3,8.3
463,Stanley Johnson,3.2,19.2,0.5,7.4
464,Stephen Curry,4.4,16.7,0.7,8.4
465,Sterling Brown,2.1,19.0,0.4,5.9
466,Steven Adams,4.0,36.9,0.7,5.4
467,T.J. McConnell,2.5,11.4,0.3,9.1
468,TJ Leaf,1.0,24.5,0.2,5.7
469,TJ Warren,3.2,31.7,0.3,8.3
470,Taj Gibson,4.8,25.1,0.5,5.6
471,Tarik Black,2.0,32.0,0.3,5.1
472,Taurean Prince,4.1,21.2,0.6,6.4
473,Terrance Ferguson,0.5,28.6,0.1,9.9
474,Terrence Ross,2.6,14.3,0.3,8.0
475,Terry Rozier,3.9,18.4,0.6,7.2
476,Thabo Sefolosha,3.5,28.0,0.4,5.9
477,Thaddeus Young,4.0,26.8,0.5,6.6
478,Thomas Bryant,0.9,42.9,0.1,4.5
479,Thon Maker,2.0,32.4,0.5,6.2
480,Tim Frazier,1.6,11.3,0.4,8.8
481,Tim Hardaway Jr.,3.4,10.9,0.5,8.3
482,Tim Quarterman,1.0,66.7,0.0,6.1
483,Timofey Mozgov,2.2,34.9,0.4,4.2
484,Timothe Luwawu-Cabarrot,1.1,15.5,0.3,8.5
485,Tobias Harris,4.7,25.1,0.7,5.8
486,Tomas Satoransky,2.2,17.4,0.3,9.1
487,Tony Allen,1.1,18.2,0.1,6.1
488,Tony Bradley,0.8,57.1,0.2,3.4
489,Tony Parker,1.6,10.2,0.2,10.0
490,Tony Snell,1.8,13.7,0.4,8.9
491,Torrey Craig,2.2,25.3,0.4,6.1
492,Travis Wear,2.2,36.8,0.4,6.6
493,Treveon Graham,1.3,25.3,0.3,8.6
494,Trevor Ariza,3.9,18.8,0.5,7.2
495,Trevor Booker,3.0,28.5,0.5,5.2
496,Trey Burke,1.6,12.1,0.3,9.9
497,Trey Lyles,4.0,26.7,0.4,4.6
498,Trey McKinney-Jones,0.0,0.0,0.0,0.0
499,Tristan Thompson,4.3,15.0,0.5,5.4
500,Troy Daniels,1.5,20.9,0.3,7.3
501,Troy Williams,2.0,19.5,0.1,5.6
502,Tyler Cavanaugh,2.1,25.0,0.2,4.9
503,Tyler Dorsey,2.0,11.5,0.3,7.2
504,Tyler Ennis,1.4,13.2,0.1,7.9
505,Tyler Johnson,3.0,20.5,0.5,7.4
506,Tyler Lydon,0.0,0.0,0.0,0.0
507,Tyler Ulis,1.5,10.6,0.3,11.3
508,Tyler Zeller,2.9,29.0,0.5,4.9
509,Tyreke Evans,4.2,19.9,0.5,7.7
510,Tyrone Wallace,2.8,16.7,0.4,8.6
511,Tyson Chandler,6.2,31.3,0.7,4.2
512,Tyus Jones,1.4,12.1,0.3,9.6
513,Udonis Haslem,0.5,14.3,0.1,5.0
514,Vander Blue,0.2,0.0,0.2,7.2
