,PLAYER,6FREQ,6DFGM,6DFGA,6DFG%
476,Joe Young,23.8%,0.7,0.8,86.1
477,Shabazz Muhammad,29.8%,0.7,0.8,83.9
478,Joakim Noah,26.3%,0.5,0.8,60.0
479,London Perrantes,27.8%,0.8,0.8,100
480,Nick Collison,42.9%,0.6,0.8,77.8
481,Kobi Simmons,15.7%,0.7,0.8,88.0
482,Wade Baldwin IV,16.7%,0.4,0.8,50.0
483,Tony Parker,17.3%,0.7,0.8,88.6
484,Jamal Crawford,21.4%,0.6,0.8,80.3
485,Alex Poythress,31.4%,0.6,0.8,72.7
486,Joel Bolomboy,20.0%,0.8,0.8,100
487,RJ Hunter,25.0%,0.5,0.8,66.7
488,Jake Layman,34.1%,0.6,0.7,78.6
489,Julyan Stone,19.3%,0.5,0.7,63.6
490,Chris McCullough,32.3%,0.4,0.7,50.0
491,Andrew White III,20.4%,0.6,0.7,80.0
492,Marcus Georges-Hunt,23.0%,0.5,0.7,64.7
493,Aaron Brooks,21.2%,0.5,0.7,71.4
494,Alfonzo McKinnie,35.0%,0.5,0.7,71.4
495,Mangok Mathiang,28.6%,0.7,0.7,100
496,Quincy Pondexter,23.6%,0.4,0.7,61.5
497,Furkan Korkmaz,23.3%,0.6,0.6,100
498,Malachi Richardson,18.3%,0.5,0.6,80.0
499,Isaiah Taylor,11.0%,0.4,0.6,68.4
